,GT,Flow,IS,IS2noITF,IS2
ALGORITHM,0.2580645,0.2580645,0.2580645,0.2580645,0.2580645
FEEDBACK,0.8571429,0.8571429,0.8571429,0.8571429,0.8571429
OSC KEY SYNC,1.0,1.0,1.0,1.0,1.0
LFO SPEED,0.272727,0.27817285,0.262909,0.24468574,0.24272496
LFO DELAY,0.0,0.033905372,0.0,0.0,0.0
LFO PM DEPTH,0.050505,0.123423174,0.059030578,0.09397025,0.08699788
LFO AM DEPTH,0.0,0.0,0.0,0.031094735,0.01814579
LFO KEY SYNC,1.0,1.0,1.0,1.0,1.0
LFO WAVE,0.0,0.0,0.0,0.0,0.0
P MODE SENS.,0.14285715,0.2857143,0.14285715,0.14285715,0.14285715
PITCH EG RATE 1,1.0,1.0,1.0,1.0,1.0
PITCH EG RATE 2,1.0,1.0,0.9497101,0.9734157,0.9738822
PITCH EG RATE 3,1.0,1.0,0.99461985,0.9984644,0.9940091
PITCH EG RATE 4,1.0,1.0,0.98998773,0.9759976,0.98392665
PITCH EG LEVEL 1,0.50505,0.5110889,0.50446635,0.5050499,0.5050511
PITCH EG LEVEL 2,0.50505,0.53382796,0.50504994,0.50504994,0.50505006
PITCH EG LEVEL 3,0.50505,0.57327706,0.50504994,0.5050498,0.50504994
PITCH EG LEVEL 4,0.50505,0.5168701,0.5050502,0.50505,0.50505
OP1 EG RATE 1,0.656566,0.75598484,0.6318361,0.6891179,0.6906626
OP1 EG RATE 2,0.79798,0.8611777,0.7434239,0.7928201,0.807694
OP1 EG RATE 3,0.69697,1.0,0.7339053,0.70404786,0.7251715
OP1 EG RATE 4,0.50505,0.51092565,0.5443754,0.5317495,0.5348203
OP1 EG LEVEL 1,1.0,1.0,0.99993783,0.99999976,1.0
OP1 EG LEVEL 2,1.0,1.0,1.0,0.98351765,0.97676295
OP1 EG LEVEL 3,1.0,1.0,1.0,0.9950368,0.9968361
OP1 EG LEVEL 4,0.0,0.0,4.7828188e-08,7.057118e-08,7.09e-08
OP1 OUTPUT LEVEL,0.959596,1.0,0.9758628,0.97257453,0.9730524
OP1 MODE,0.0,0.0,0.0,0.0,0.0
OP1 F COARSE,0.0,0.0,0.0,0.0,0.0
OP1 F FINE,0.0,0.0,0.017597992,0.0039079995,0.001006547
OP1 OSC DETUNE,0.92857146,0.92857146,0.92857146,0.92857146,0.92857146
OP1 BREAK POINT,0.0,0.0,0.0,0.05315463,0.04869767
OP1 L SCALE DEPTH,0.0,0.0,0.0,0.0030792796,0.0
OP1 R SCALE DEPTH,0.0,0.0,0.0,0.0,0.0
OP1 L KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP1 R KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP1 RATE SCALING,0.0,0.0,0.0,0.0,0.0
OP1 A MOD SENS.,0.0,0.0,0.0,0.0,0.0
