,GT,Flow,IS,IS2noITF,IS2
ALGORITHM,0.87096775,0.87096775,0.87096775,0.87096775,0.87096775
FEEDBACK,0.8571429,0.8571429,0.8571429,0.8571429,0.8571429
OSC KEY SYNC,0.0,0.0,0.0,0.0,0.0
LFO SPEED,0.353535,0.3363256,0.36325562,0.34727946,0.3569338
LFO DELAY,0.0,0.029258892,0.0009563705,0.0,0.0
LFO PM DEPTH,0.0,0.0,0.0,0.014491643,0.018943032
LFO AM DEPTH,0.0,0.0,0.052435786,0.0,0.0
LFO KEY SYNC,1.0,1.0,1.0,1.0,1.0
LFO WAVE,0.0,0.0,0.0,0.0,0.0
P MODE SENS.,0.0,0.0,0.0,0.0,0.0
PITCH EG RATE 1,1.0,1.0,1.0,1.0,1.0
PITCH EG RATE 2,1.0,0.9918762,1.0,1.0,1.0
PITCH EG RATE 3,1.0,1.0,1.0,0.9875186,0.9769491
PITCH EG RATE 4,1.0,0.9672786,1.0,1.0,1.0
PITCH EG LEVEL 1,0.50505,0.52011836,0.5073449,0.5050502,0.50505686
PITCH EG LEVEL 2,0.50505,0.5443771,0.50504994,0.50505,0.50505006
PITCH EG LEVEL 3,0.50505,0.49490047,0.50505,0.5050498,0.50504994
PITCH EG LEVEL 4,0.50505,0.53295213,0.5050501,0.50504994,0.50505
OP1 EG RATE 1,0.979798,1.0,0.8819653,0.9583837,0.9703977
OP1 EG RATE 2,0.50505,0.50345916,0.5011045,0.49430248,0.49825057
OP1 EG RATE 3,0.171717,0.3312573,0.117755674,0.1503701,0.12885056
OP1 EG RATE 4,0.676768,0.689197,0.67620647,0.67611396,0.68536204
OP1 EG LEVEL 1,1.0,1.0,0.9999735,0.99999976,1.0
OP1 EG LEVEL 2,0.989899,0.97483814,0.9472385,1.0,1.0
OP1 EG LEVEL 3,0.0,0.13303813,0.0,0.0,0.0
OP1 EG LEVEL 4,0.0,0.0,3.6544645e-08,7.668621e-08,8.84e-08
OP1 OUTPUT LEVEL,1.0,1.0,0.99426126,1.0,1.0
OP1 MODE,1.0,1.0,1.0,1.0,1.0
OP1 F COARSE,0.0,0.0,0.0,0.0,0.0
OP1 F FINE,0.010101,0.120733775,0.012810578,0.0,0.0
OP1 OSC DETUNE,0.5,0.5,0.5,0.5,0.5
OP1 BREAK POINT,0.0,0.15476951,0.009802592,0.042371638,0.06445871
OP1 L SCALE DEPTH,0.0,0.0,0.0,0.0,0.001533611
OP1 R SCALE DEPTH,0.0,0.0,0.0,0.0,0.0
OP1 L KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP1 R KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP1 RATE SCALING,0.2857143,0.2857143,0.2857143,0.2857143,0.2857143
OP1 A MOD SENS.,0.0,0.0,0.0,0.0,0.0
OP1 KEY VELOCITY,0.0,0.0,0.0,0.0,0.0
OP2 EG RATE 1,1.0,0.85461473,0.9594671,0.99812144,0.9948267
OP2 EG RATE 2,0.686869,0.6609912,0.63336724,0.63603574,0.6569827
OP2 EG RATE 3,0.171717,0.22996402,0.1609832,0.12452226,0.110610865
OP2 EG RATE 4,0.858586,0.831214,0.8749523,0.8954643,0.9288651
OP2 EG LEVEL 1,1.0,1.0,1.0,0.99595374,0.9978078
OP2 EG LEVEL 2,0.909091,1.0,0.8889057,0.85812414,0.8752183
OP2 EG LEVEL 3,0.0,0.059281416,0.0,0.0010917514,0.0
OP2 EG LEVEL 4,1.0,0.5716522,6.850606e-08,8.4394037e-07,0.0
OP2 OUTPUT LEVEL,0.89899,0.9654909,0.8958717,0.8864233,0.89746594
OP2 MODE,0.0,0.0,0.0,0.0,0.0
OP2 F COARSE,0.032258064,0.032258064,0.032258064,0.032258064,0.032258064
OP2 F FINE,0.0,0.0,0.0,0.0012776895,0.000699862
OP2 OSC DETUNE,0.42857146,0.42857146,0.42857146,0.42857146,0.42857146
OP2 BREAK POINT,0.393939,0.4095528,0.41771612,0.40298107,0.42849702
OP2 L SCALE DEPTH,0.0,0.0,0.0021146927,0.0027784726,0.004238502
OP2 R SCALE DEPTH,0.080808,0.05517727,0.10264635,0.096755,0.09716703
OP2 L KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP2 R KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP2 RATE SCALING,0.2857143,0.2857143,0.2857143,0.2857143,0.2857143
OP2 A MOD SENS.,0.0,0.0,0.0,0.0,0.0
OP2 KEY VELOCITY,0.42857146,0.42857146,0.42857146,0.42857146,0.42857146
OP3 EG RATE 1,0.979798,0.9573971,0.97731155,0.99215776,0.99693596
OP3 EG RATE 2,0.50505,0.54696494,0.51696146,0.4819873,0.49702373
OP3 EG RATE 3,0.171717,0.21375673,0.19309647,0.17150705,0.17280596
OP3 EG RATE 4,0.616162,0.8230721,0.6101123,0.6145546,0.62710637
OP3 EG LEVEL 1,1.0,1.0,1.0,1.0,1.0
OP3 EG LEVEL 2,0.989899,0.94888777,0.99422485,0.9586377,0.9474567
OP3 EG LEVEL 3,0.0,0.0,0.048465762,0.0053826524,0.0
OP3 EG LEVEL 4,0.0,0.0,5.9325465e-08,1.0050095e-07,1.07e-07
OP3 OUTPUT LEVEL,1.0,0.85498554,0.96506304,1.0,1.0
OP3 MODE,1.0,1.0,1.0,1.0,1.0
OP3 F COARSE,0.12903225,0.12903225,0.12903225,0.12903225,0.12903225
OP3 F FINE,0.212121,0.30062,0.23498994,0.20795263,0.21389109
OP3 OSC DETUNE,0.5,0.5,0.5,0.5,0.5
OP3 BREAK POINT,0.0,0.0902575,0.026412884,0.037922714,0.033793874
OP3 L SCALE DEPTH,0.0,0.0,0.0,0.0,0.0
OP3 R SCALE DEPTH,0.0,0.0,0.0,0.0,0.0
OP3 L KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP3 R KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP3 RATE SCALING,0.2857143,0.2857143,0.2857143,0.2857143,0.2857143
OP3 A MOD SENS.,0.0,0.0,0.0,0.0,0.0
OP3 KEY VELOCITY,0.0,0.0,0.0,0.0,0.0
OP4 EG RATE 1,1.0,0.8569538,1.0,1.0,1.0
OP4 EG RATE 2,0.686869,0.64708966,0.668701,0.6606825,0.6885214
OP4 EG RATE 3,0.171717,0.2913057,0.19265041,0.20499563,0.19542034
OP4 EG RATE 4,0.575758,0.7792235,0.5720449,0.64601827,0.64202857
OP4 EG LEVEL 1,1.0,1.0,0.99806446,0.99356914,0.99833804
OP4 EG LEVEL 2,0.909091,0.8296504,0.85091895,0.8922434,0.9020335
OP4 EG LEVEL 3,0.0,0.0,0.026333664,0.0,0.0
OP4 EG LEVEL 4,0.0,0.0,0.0,0.0,3.34e-08
OP4 OUTPUT LEVEL,0.909091,0.9735125,0.9180274,0.90708053,0.9039835
OP4 MODE,0.0,0.0,0.0,0.0,0.0
OP4 F COARSE,0.032258064,0.032258064,0.032258064,0.032258064,0.032258064
OP4 F FINE,0.0,0.10022979,0.010300784,0.010507465,0.0
OP4 OSC DETUNE,0.6428572,0.6428572,0.6428572,0.6428572,0.6428572
OP4 BREAK POINT,0.464646,0.5304089,0.51154184,0.4818034,0.5247116
OP4 L SCALE DEPTH,0.0,0.0,0.024129922,0.015565875,0.015674254
OP4 R SCALE DEPTH,0.444444,0.092812344,0.46580714,0.42321712,0.4548713
OP4 L KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP4 R KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP4 RATE SCALING,0.0,0.0,0.0,0.0,0.0
OP4 A MOD SENS.,0.0,0.0,0.0,0.0,0.0
OP4 KEY VELOCITY,0.42857146,0.42857146,0.42857146,0.42857146,0.42857146
OP5 EG RATE 1,1.0,0.87752146,1.0,1.0,1.0
OP5 EG RATE 2,0.525253,0.66809607,0.6300857,0.5870672,0.6044911
OP5 EG RATE 3,0.323232,0.38362312,0.27962938,0.33934426,0.34093025
OP5 EG RATE 4,0.89899,0.8374712,0.8930016,0.89813733,0.9154496
OP5 EG LEVEL 1,1.0,1.0,1.0,1.0,1.0
OP5 EG LEVEL 2,0.626263,0.77479386,0.5292544,0.5422295,0.5253927
OP5 EG LEVEL 3,0.0,0.0,0.0,0.03224989,0.0
OP5 EG LEVEL 4,0.0,0.0063403547,3.4946703e-07,2.838085e-07,0.0
OP5 OUTPUT LEVEL,0.353535,0.83219606,0.5170952,0.5770916,0.56116205
OP5 MODE,0.0,0.0,0.0,0.0,0.0
OP5 F COARSE,0.54838705,0.06451613,0.54838705,0.54838705,0.54838705
OP5 F FINE,0.141414,0.2559091,0.17271079,0.18129452,0.18858859
OP5 OSC DETUNE,0.5,0.5,0.5,0.5,0.5
OP5 BREAK POINT,0.393939,0.21840972,0.36640182,0.3756752,0.39885968
OP5 L SCALE DEPTH,0.585859,0.0,0.1873025,0.2101007,0.21697398
OP5 R SCALE DEPTH,0.0,0.0,0.11090421,0.055557515,0.066985294
OP5 L KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP5 R KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP5 RATE SCALING,0.0,0.0,0.0,0.0,0.0
OP5 A MOD SENS.,0.0,0.0,0.0,0.0,0.0
OP5 KEY VELOCITY,0.71428573,0.71428573,0.71428573,0.71428573,0.71428573
OP6 EG RATE 1,1.0,0.9262276,1.0,1.0,1.0
