,GT,Flow,IS,IS2noITF,IS2
ALGORITHM,1.0,1.0,1.0,1.0,1.0
FEEDBACK,0.71428573,0.71428573,0.71428573,0.71428573,0.71428573
OSC KEY SYNC,0.0,0.0,0.0,0.0,0.0
LFO SPEED,0.050505,0.34404212,0.12046706,0.081427805,0.07278193
LFO DELAY,0.010101,0.24679363,0.043917082,0.005552159,5.51e-05
LFO PM DEPTH,0.252525,0.0824769,0.11943973,0.22138926,0.21848932
LFO AM DEPTH,0.282828,0.27393204,0.29439548,0.21606418,0.2170661
LFO KEY SYNC,0.0,0.0,0.0,0.0,0.0
LFO WAVE,0.0,0.0,0.0,0.0,0.0
P MODE SENS.,0.14285715,0.14285715,0.14285715,0.14285715,0.14285715
PITCH EG RATE 1,1.0,1.0,0.9695978,1.0,1.0
PITCH EG RATE 2,1.0,1.0,0.98803806,1.0,0.99884534
PITCH EG RATE 3,1.0,1.0,0.9496191,1.0,1.0
PITCH EG RATE 4,1.0,1.0,0.95104253,1.0,1.0
PITCH EG LEVEL 1,0.50505,0.5040975,0.5070992,0.50505006,0.5050535
PITCH EG LEVEL 2,0.50505,0.50147396,0.50505,0.50505,0.50505006
PITCH EG LEVEL 3,0.50505,0.5335994,0.50505006,0.5050499,0.50505006
PITCH EG LEVEL 4,0.50505,0.49842674,0.5050501,0.50504994,0.50505
OP1 EG RATE 1,0.0,0.863567,0.64940983,0.89536846,0.89955384
OP1 EG RATE 2,0.0,0.8811561,0.7424522,0.82802516,0.860976
OP1 EG RATE 3,0.0,0.8367525,0.5635905,0.7167639,0.7367252
OP1 EG RATE 4,0.0,0.71486217,0.66113317,0.6624421,0.6669996
OP1 EG LEVEL 1,0.0,1.0,0.9994237,0.9999991,0.9999994
OP1 EG LEVEL 2,0.0,0.89159715,0.7264878,0.58525264,0.5610554
OP1 EG LEVEL 3,0.0,1.0,0.18123995,0.41765684,0.4149021
OP1 EG LEVEL 4,0.0,0.0,3.7991416e-08,7.986886e-08,0.0
OP1 OUTPUT LEVEL,0.0,0.29994398,0.87273276,0.9020331,0.8967494
OP1 MODE,0.0,0.0,0.0,0.0,0.0
OP1 F COARSE,0.0,0.0,0.0,0.0,0.0
OP1 F FINE,0.0,0.0,0.0,0.008166629,0.003781551
OP1 OSC DETUNE,0.5,0.5,0.5,0.5,0.5
OP1 BREAK POINT,0.0,0.062289402,0.08438194,0.10914647,0.083024286
OP1 L SCALE DEPTH,0.0,0.0,0.045640536,0.012194508,0.01951621
OP1 R SCALE DEPTH,0.0,0.06783272,0.0051718038,0.01468864,0.010978288
OP1 L KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP1 R KEY SCALE,0.0,0.33333334,0.0,0.0,0.0
OP1 RATE SCALING,0.0,0.0,0.0,0.0,0.0
OP1 A MOD SENS.,0.0,1.0,0.0,0.0,0.0
OP1 KEY VELOCITY,0.0,0.0,0.0,0.0,0.0
OP2 EG RATE 1,0.0,0.85406214,0.63501334,0.6978391,0.68943727
OP2 EG RATE 2,0.0,0.7868253,0.50603926,0.41194132,0.43682027
OP2 EG RATE 3,0.0,0.75131613,0.61195946,0.45970625,0.4649074
OP2 EG RATE 4,0.0,0.71660334,0.6613614,0.51277816,0.5146
OP2 EG LEVEL 1,0.0,0.95088077,0.9040989,0.8995299,0.89300615
OP2 EG LEVEL 2,0.0,0.8922667,0.7255398,0.78979546,0.7868891
OP2 EG LEVEL 3,0.0,1.0,0.5665917,0.623422,0.6321805
OP2 EG LEVEL 4,0.0,0.0,6.5918413e-09,0.0,0.0
OP2 OUTPUT LEVEL,0.0,0.5298064,0.42433393,0.60429734,0.5921068
OP2 MODE,0.0,0.0,0.0,0.0,0.0
OP2 F COARSE,0.0,0.0,0.0,0.0,0.0
OP2 F FINE,0.0,0.0,0.0,0.0,0.0
OP2 OSC DETUNE,0.5,1.0,0.5,0.5,0.5
OP2 BREAK POINT,0.0,0.024088651,0.0,0.0,0.0
OP2 L SCALE DEPTH,0.0,0.0,0.0,0.0,0.0
OP2 R SCALE DEPTH,0.0,0.03346479,0.0043531177,0.0,0.0
OP2 L KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP2 R KEY SCALE,0.0,0.33333334,0.0,0.0,0.0
OP2 RATE SCALING,0.0,0.0,0.0,0.0,0.0
OP2 A MOD SENS.,0.0,1.0,0.0,0.0,0.0
OP2 KEY VELOCITY,0.0,0.0,0.0,0.0,0.0
OP3 EG RATE 1,1.0,0.9334284,0.9666675,0.99363875,1.0
