,GT,Flow,IS,IS2noITF,IS2
ALGORITHM,0.7419355,0.6774193,0.7419355,0.7419355,0.7419355
FEEDBACK,1.0,1.0,1.0,1.0,1.0
OSC KEY SYNC,1.0,1.0,1.0,1.0,1.0
LFO SPEED,0.424242,0.4089042,0.39609778,0.40648928,0.40145347
LFO DELAY,0.0,0.14052534,0.01639321,0.01731686,0.015268111
LFO PM DEPTH,0.0,0.0,0.017968284,0.0053817513,0.0
LFO AM DEPTH,0.0,0.0,0.03183739,0.050114363,0.041433126
LFO KEY SYNC,0.0,0.0,0.0,0.0,0.0
LFO WAVE,0.0,0.0,0.0,0.0,0.0
P MODE SENS.,0.42857146,0.5714286,0.5714286,0.5714286,0.5714286
PITCH EG RATE 1,0.989899,1.0,0.9754355,0.9507113,0.9444198
PITCH EG RATE 2,0.989899,1.0,0.96744263,0.9602881,0.9503533
PITCH EG RATE 3,0.989899,1.0,0.99850994,0.98973763,0.98676854
PITCH EG RATE 4,0.989899,0.8927976,0.9484024,0.9433064,0.93467474
PITCH EG LEVEL 1,0.50505,0.52291024,0.5054475,0.5050498,0.5050499
PITCH EG LEVEL 2,0.50505,0.5272774,0.50505,0.50505,0.50505
PITCH EG LEVEL 3,0.50505,0.5204579,0.5050501,0.5050498,0.50505006
PITCH EG LEVEL 4,0.50505,0.53194165,0.5050501,0.50504994,0.50505
OP1 EG RATE 1,1.0,0.80011016,0.63916004,0.6086202,0.6067284
OP1 EG RATE 2,0.767677,0.6451045,0.7748088,0.7625227,0.7772828
OP1 EG RATE 3,1.0,0.7707623,0.8995774,0.90191627,0.927075
OP1 EG RATE 4,0.646465,0.7076529,0.6783442,0.7003394,0.7100143
OP1 EG LEVEL 1,1.0,1.0,1.0,0.99999976,1.0
OP1 EG LEVEL 2,0.888889,0.9850926,0.9445861,0.94536537,0.92960644
OP1 EG LEVEL 3,0.969697,1.0,0.9688726,0.99093837,0.97089905
OP1 EG LEVEL 4,0.0,0.0,2.882889e-08,7.5061266e-08,2.59e-08
OP1 OUTPUT LEVEL,1.0,1.0,1.0,0.9945299,0.9925202
OP1 MODE,0.0,0.0,0.0,0.0,0.0
OP1 F COARSE,0.032258064,0.032258064,0.032258064,0.032258064,0.032258064
OP1 F FINE,0.0,0.0,0.0,0.0,0.0
OP1 OSC DETUNE,0.5,0.5,0.5,0.5,0.5
OP1 BREAK POINT,0.393939,0.3417855,0.39189848,0.36332107,0.38035744
OP1 L SCALE DEPTH,0.0,0.060355812,0.029220818,0.020259744,0.029919285
OP1 R SCALE DEPTH,0.141414,0.0,0.086589396,0.0571901,0.061595876
OP1 L KEY SCALE,1.0,1.0,1.0,1.0,1.0
OP1 R KEY SCALE,1.0,1.0,1.0,1.0,1.0
OP1 RATE SCALING,1.0,1.0,1.0,1.0,1.0
OP1 A MOD SENS.,0.0,0.0,0.0,0.0,0.0
OP1 KEY VELOCITY,0.0,0.0,0.0,0.0,0.0
OP2 EG RATE 1,1.0,0.783647,0.92265314,0.87333816,0.87310207
OP2 EG RATE 2,0.767677,0.44743264,0.73827255,0.72289336,0.726832
OP2 EG RATE 3,0.181818,0.30864832,0.23321973,0.22241463,0.21630335
OP2 EG RATE 4,0.646465,0.59305966,0.67014045,0.62745756,0.6360585
OP2 EG LEVEL 1,1.0,0.89577746,0.99548525,1.0,0.9981273
OP2 EG LEVEL 2,0.959596,0.960453,0.94432807,0.99989784,0.97903633
OP2 EG LEVEL 3,0.939394,0.8683727,0.955285,0.91039425,0.9042903
OP2 EG LEVEL 4,0.0,0.0,2.0436774e-09,0.0,7.86e-08
OP2 OUTPUT LEVEL,1.0,0.8255836,0.93362755,0.929373,0.941429
OP2 MODE,0.0,0.0,0.0,0.0,0.0
OP2 F COARSE,0.06451613,0.06451613,0.06451613,0.06451613,0.06451613
OP2 F FINE,0.0,0.0,0.0,0.0,0.00063203
OP2 OSC DETUNE,0.5,0.5,0.5,0.5,0.5
OP2 BREAK POINT,0.272727,0.19948325,0.29777306,0.26797405,0.2676804
OP2 L SCALE DEPTH,0.0,0.0,0.0012460158,0.0,0.0
OP2 R SCALE DEPTH,0.0,0.11495158,0.0,0.0,0.0
OP2 L KEY SCALE,1.0,1.0,1.0,1.0,1.0
OP2 R KEY SCALE,0.33333334,0.33333334,0.33333334,0.33333334,0.33333334
OP2 RATE SCALING,1.0,1.0,1.0,1.0,1.0
OP2 A MOD SENS.,0.0,0.0,0.0,0.0,0.0
OP2 KEY VELOCITY,0.0,0.0,0.0,0.0,0.0
OP3 EG RATE 1,1.0,0.9296131,0.8144218,0.7949051,0.7860728
OP3 EG RATE 2,0.767677,0.6845869,0.70595646,0.7672687,0.7701869
OP3 EG RATE 3,0.828283,0.6458238,0.7628986,0.7635063,0.77986044
OP3 EG RATE 4,0.646465,0.69589365,0.6471361,0.64004064,0.6617473
OP3 EG LEVEL 1,1.0,1.0,1.0,0.99711233,0.99682504
OP3 EG LEVEL 2,0.989899,1.0,0.9816771,1.0,1.0
OP3 EG LEVEL 3,0.989899,1.0,0.9582584,1.0,1.0
OP3 EG LEVEL 4,0.0,0.0,6.2881945e-08,1.0016297e-07,0.0
OP3 OUTPUT LEVEL,1.0,0.96858704,0.9968742,1.0,1.0
OP3 MODE,0.0,0.0,0.0,0.0,0.0
OP3 F COARSE,0.032258064,0.032258064,0.032258064,0.032258064,0.032258064
OP3 F FINE,0.0,0.0,0.013003362,0.0,0.0
OP3 OSC DETUNE,0.5,0.5,0.5,0.5,0.5
OP3 BREAK POINT,0.393939,0.36260667,0.38215405,0.3788837,0.40024856
OP3 L SCALE DEPTH,0.0,0.0,0.041722193,0.013959484,0.011028213
OP3 R SCALE DEPTH,0.0,0.0,0.021427909,0.0,0.0
OP3 L KEY SCALE,1.0,1.0,0.6666667,0.6666667,0.6666667
OP3 R KEY SCALE,1.0,0.6666667,0.6666667,0.6666667,0.6666667
OP3 RATE SCALING,1.0,1.0,1.0,1.0,1.0
OP3 A MOD SENS.,0.0,0.0,0.0,0.0,0.0
OP3 KEY VELOCITY,0.0,0.0,0.0,0.0,0.0
OP4 EG RATE 1,1.0,0.83769405,0.8301268,0.7992613,0.79136854
OP4 EG RATE 2,0.363636,0.5149766,0.35008663,0.41858223,0.3932834
OP4 EG RATE 3,0.414141,0.5640926,0.40184245,0.4349445,0.42893404
OP4 EG RATE 4,0.636364,0.73342717,0.6406504,0.66120845,0.6761118
OP4 EG LEVEL 1,1.0,0.8846921,0.9865586,1.0,1.0
OP4 EG LEVEL 2,0.989899,1.0,0.9841033,1.0,1.0
OP4 EG LEVEL 3,0.989899,1.0,0.96668196,0.966739,0.97074896
