,GT,Flow,IS,IS2noITF,IS2
ALGORITHM,0.9032258,0.12903225,0.6774193,0.6774193,0.6774193
FEEDBACK,0.8571429,0.71428573,0.5714286,1.0,1.0
OSC KEY SYNC,1.0,1.0,1.0,1.0,1.0
LFO SPEED,0.0,0.353802,0.38731253,0.21348797,0.21208295
LFO DELAY,0.0,0.19218314,0.060904205,0.2522489,0.25054953
LFO PM DEPTH,0.0,0.10891551,0.031771652,0.070183516,0.05692466
LFO AM DEPTH,0.0,0.0,0.07434252,0.050931282,0.04513311
LFO KEY SYNC,0.0,0.0,1.0,1.0,1.0
LFO WAVE,0.8,0.8,0.8,0.0,0.0
P MODE SENS.,0.42857146,0.42857146,0.42857146,0.42857146,0.42857146
PITCH EG RATE 1,0.848485,0.87608516,0.5413904,0.8057398,0.8085592
PITCH EG RATE 2,0.959596,0.9047437,0.6488404,0.7094755,0.6983792
PITCH EG RATE 3,0.959596,1.0,0.6943815,0.77500254,0.77347755
PITCH EG RATE 4,0.606061,0.85125124,0.4330181,0.6610253,0.65237373
PITCH EG LEVEL 1,0.50505,0.515447,0.5061073,0.5050498,0.50505006
PITCH EG LEVEL 2,0.50505,0.49167526,0.5050501,0.50505,0.50505006
PITCH EG LEVEL 3,0.50505,0.49976593,0.5050502,0.5050498,0.50505
PITCH EG LEVEL 4,0.50505,0.4904741,0.5050501,0.50504994,0.50505
OP1 EG RATE 1,1.0,0.88116175,0.8778379,0.8294572,0.8336773
OP1 EG RATE 2,0.262626,0.75897264,0.6214154,0.7331205,0.751541
OP1 EG RATE 3,0.252525,0.6925657,0.97064584,1.0,1.0
OP1 EG RATE 4,0.616162,0.71901166,0.7103216,0.73839754,0.7521745
OP1 EG LEVEL 1,1.0,1.0,0.9999427,0.99999964,0.9999996
OP1 EG LEVEL 2,0.989899,0.9743739,0.91455495,0.98634034,0.9884673
OP1 EG LEVEL 3,0.707071,0.9758222,0.9225101,0.97533363,0.98886645
OP1 EG LEVEL 4,0.0,0.0,2.2177288e-08,7.000798e-08,3.26e-08
OP1 OUTPUT LEVEL,1.0,1.0,0.9837802,0.9779101,0.9778773
OP1 MODE,0.0,0.0,0.0,0.0,0.0
OP1 F COARSE,0.06451613,0.0,0.0,0.06451613,0.06451613
OP1 F FINE,0.0,0.0,0.0,0.0,0.0
OP1 OSC DETUNE,0.5,0.5,1.0,0.5,0.5
OP1 BREAK POINT,0.393939,0.27921236,0.15119167,0.1776095,0.19067003
OP1 L SCALE DEPTH,0.0,0.0,0.0,0.0,0.0
OP1 R SCALE DEPTH,0.0,0.22738153,0.024275502,0.12323374,0.12798338
OP1 L KEY SCALE,1.0,0.0,0.0,1.0,0.0
OP1 R KEY SCALE,1.0,0.0,1.0,1.0,1.0
OP1 RATE SCALING,0.71428573,0.0,0.42857146,0.42857146,0.42857146
OP1 A MOD SENS.,0.0,0.0,0.0,0.0,0.0
OP1 KEY VELOCITY,0.0,0.0,0.0,0.0,0.0
OP2 EG RATE 1,1.0,0.9092033,0.86094975,0.7439806,0.71638834
OP2 EG RATE 2,0.585859,0.74837124,0.3949159,0.53560174,0.5284374
OP2 EG RATE 3,0.424242,0.64770246,0.5243877,0.57187724,0.5835768
OP2 EG RATE 4,0.464646,0.6606048,0.7061422,0.7477412,0.7692569
OP2 EG LEVEL 1,1.0,0.9709219,0.9612413,0.9681428,0.9649272
OP2 EG LEVEL 2,0.989899,0.9326502,0.69644195,0.9134003,0.91514474
OP2 EG LEVEL 3,1.0,1.0,0.8755209,0.87480193,0.8870414
OP2 EG LEVEL 4,0.0,0.0,1.6460143e-08,0.0,1.7e-07
OP2 OUTPUT LEVEL,0.89899,0.8399774,0.85582453,0.8167345,0.8181474
OP2 MODE,0.0,0.0,0.0,0.0,0.0
OP2 F COARSE,0.0,0.0,0.0,0.0,0.0
OP2 F FINE,0.0,0.030578882,0.0,0.0,0.0
OP2 OSC DETUNE,0.5,0.5,0.5,0.5,0.5
OP2 BREAK POINT,0.0,0.28615987,0.35102555,0.36741355,0.36728102
OP2 L SCALE DEPTH,0.0,0.09488927,0.028195666,0.023835734,0.026234627
OP2 R SCALE DEPTH,0.0,0.20433863,0.20779726,0.15951018,0.15986435
OP2 L KEY SCALE,1.0,0.0,1.0,1.0,1.0
OP2 R KEY SCALE,1.0,0.0,0.33333334,0.33333334,0.33333334
OP2 RATE SCALING,0.71428573,0.0,0.0,0.0,0.0
OP2 A MOD SENS.,0.0,0.0,0.0,0.0,0.0
OP2 KEY VELOCITY,0.14285715,0.0,0.0,0.0,0.0
OP3 EG RATE 1,1.0,0.9147875,0.7848017,0.9020095,0.91345626
OP3 EG RATE 2,0.393939,0.7941155,0.5145345,0.75144917,0.76599693
OP3 EG RATE 3,0.323232,0.70192957,0.63733196,0.7256072,0.7367075
OP3 EG RATE 4,0.717172,0.6878275,0.7209965,0.70485413,0.7245026
OP3 EG LEVEL 1,1.0,1.0,1.0,0.99846286,0.9995407
OP3 EG LEVEL 2,0.989899,0.9765652,0.6901914,0.82071036,0.80505663
OP3 EG LEVEL 3,0.959596,0.9759297,0.85024196,0.76964825,0.7433393
OP3 EG LEVEL 4,0.0,0.0,6.2860536e-08,9.5524506e-08,0.0
OP3 OUTPUT LEVEL,1.0,0.97561,0.9958885,1.0,1.0
OP3 MODE,0.0,0.0,0.0,0.0,0.0
OP3 F COARSE,0.0,0.0,0.0,0.0,0.0
OP3 F FINE,0.0,0.04870449,0.0,0.0,0.0
OP3 OSC DETUNE,0.5,0.5,0.5,0.5,0.5
OP3 BREAK POINT,0.393939,0.2983311,0.29139158,0.37312102,0.3802235
OP3 L SCALE DEPTH,0.0,0.07571168,0.02789541,0.054441635,0.037813596
