,GT,Flow,IS,IS2noITF,IS2
ALGORITHM,0.6774193,0.6774193,0.6774193,0.6774193,0.6774193
FEEDBACK,1.0,1.0,1.0,1.0,1.0
OSC KEY SYNC,1.0,1.0,1.0,1.0,1.0
LFO SPEED,0.343434,0.31621987,0.3709276,0.36577776,0.36554724
LFO DELAY,0.333333,0.2981374,0.31747136,0.37542015,0.3837799
LFO PM DEPTH,0.0,0.16033734,0.03484594,0.035927474,0.023987766
LFO AM DEPTH,0.0,0.007298611,0.0,0.0,0.0
LFO KEY SYNC,0.0,0.0,0.0,0.0,0.0
LFO WAVE,0.8,0.8,0.8,0.8,0.8
P MODE SENS.,0.14285715,0.14285715,0.14285715,0.14285715,0.14285715
PITCH EG RATE 1,0.949495,0.8981648,0.87926316,0.9675013,0.96330297
PITCH EG RATE 2,0.676768,0.7106267,0.66296875,0.7339821,0.7282858
PITCH EG RATE 3,0.959596,0.96449393,0.9735236,0.963073,0.96685046
PITCH EG RATE 4,0.606061,0.73559284,0.6586783,0.67269063,0.6572731
PITCH EG LEVEL 1,0.50505,0.5003465,0.504894,0.5050496,0.5050463
PITCH EG LEVEL 2,0.50505,0.4986355,0.50505006,0.50505,0.50505
PITCH EG LEVEL 3,0.50505,0.4771442,0.50505024,0.50504994,0.50505006
PITCH EG LEVEL 4,0.50505,0.49299586,0.5050501,0.50504994,0.50505
OP1 EG RATE 1,0.565657,0.71281075,0.58440053,0.5562419,0.5332716
OP1 EG RATE 2,0.494949,0.38182753,0.52448535,0.549251,0.55924386
OP1 EG RATE 3,0.454545,0.29616678,0.3073843,0.4626515,0.4779848
OP1 EG RATE 4,0.515152,0.5689063,0.5252675,0.5173967,0.5248476
OP1 EG LEVEL 1,1.0,1.0,0.9998796,0.99999976,1.0
OP1 EG LEVEL 2,0.969697,1.0,1.0,0.96292245,0.9588856
OP1 EG LEVEL 3,1.0,0.9529147,1.0,1.0,1.0
OP1 EG LEVEL 4,0.0,0.0,2.3685416e-08,8.106522e-08,2.69e-07
OP1 OUTPUT LEVEL,1.0,1.0,0.99166673,1.0,1.0
OP1 MODE,1.0,1.0,1.0,1.0,1.0
OP1 F COARSE,0.0,0.0,0.0,0.0,0.0
OP1 F FINE,0.0,0.11505206,0.03806082,0.06025302,0.05813726
OP1 OSC DETUNE,0.0,0.5,0.0,0.0,0.0
OP1 BREAK POINT,0.0,0.15317091,0.02412166,0.027661938,0.039060637
OP1 L SCALE DEPTH,0.0,0.0,0.022644525,0.044594213,0.0418525
OP1 R SCALE DEPTH,0.0,0.16759346,0.0,0.0107565485,0.015766783
OP1 L KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP1 R KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP1 RATE SCALING,0.2857143,0.2857143,0.2857143,0.2857143,0.2857143
OP1 A MOD SENS.,1.0,1.0,1.0,1.0,1.0
OP1 KEY VELOCITY,0.0,0.0,0.0,0.0,0.0
OP2 EG RATE 1,0.545455,0.66079724,0.6436732,0.60958076,0.59508824
OP2 EG RATE 2,0.282828,0.3535057,0.30047113,0.33999288,0.3300075
OP2 EG RATE 3,0.383838,0.36297292,0.28159216,0.39611596,0.40454438
OP2 EG RATE 4,0.494949,0.54155505,0.5024903,0.5238481,0.5196466
OP2 EG LEVEL 1,1.0,1.0,0.95908356,0.98390913,0.98911566
OP2 EG LEVEL 2,0.989899,1.0,1.0,1.0,1.0
OP2 EG LEVEL 3,0.979798,0.8643182,0.98559153,1.0,1.0
OP2 EG LEVEL 4,0.0,0.0,0.0,0.0,0.0
OP2 OUTPUT LEVEL,0.949495,0.8642043,0.8793537,0.95654124,0.9533913
OP2 MODE,0.0,0.0,0.0,0.0,0.0
OP2 F COARSE,0.032258064,0.032258064,0.032258064,0.032258064,0.032258064
OP2 F FINE,0.0,0.0,0.045710966,0.07631944,0.07170214
OP2 OSC DETUNE,1.0,1.0,1.0,1.0,1.0
OP2 BREAK POINT,0.464646,0.26200077,0.44269818,0.36393327,0.37401813
OP2 L SCALE DEPTH,0.0,0.0,0.006286899,0.0070296554,0.009815769
OP2 R SCALE DEPTH,1.0,0.2244643,0.045834843,0.1644246,0.16471973
OP2 L KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP2 R KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP2 RATE SCALING,0.2857143,0.2857143,0.2857143,0.2857143,0.2857143
OP2 A MOD SENS.,0.33333334,0.33333334,0.33333334,0.33333334,0.33333334
OP2 KEY VELOCITY,0.2857143,0.0,0.2857143,0.2857143,0.2857143
OP3 EG RATE 1,0.50505,0.68711185,0.5788642,0.51698285,0.498464
OP3 EG RATE 2,0.272727,0.33390155,0.3604929,0.35844195,0.35737857
