,GT,Flow,IS,IS2noITF,IS2
ALGORITHM,0.12903225,0.12903225,0.12903225,0.12903225,0.12903225
FEEDBACK,1.0,1.0,1.0,1.0,1.0
OSC KEY SYNC,0.0,0.0,0.0,0.0,0.0
LFO SPEED,0.333333,0.38329297,0.36487308,0.4001359,0.39365238
LFO DELAY,0.636364,0.2456975,0.38989052,0.4322204,0.44097176
LFO PM DEPTH,0.0,0.18912697,0.1430651,0.095113434,0.08812482
LFO AM DEPTH,0.686869,0.4538657,0.4101424,0.56537545,0.5772646
LFO KEY SYNC,0.0,0.0,0.0,0.0,0.0
LFO WAVE,0.8,0.8,0.8,0.8,0.8
P MODE SENS.,0.14285715,0.14285715,0.14285715,0.14285715,0.14285715
PITCH EG RATE 1,0.989899,0.9842934,0.92033917,0.9858791,0.9926904
PITCH EG RATE 2,0.989899,0.92759943,0.88499576,0.7590326,0.7736025
PITCH EG RATE 3,0.989899,1.0,0.99126095,0.97673815,0.98116654
PITCH EG RATE 4,0.989899,0.9191317,0.9215665,0.8437438,0.8495846
PITCH EG LEVEL 1,0.525253,0.5236003,0.5069622,0.5050497,0.5050477
PITCH EG LEVEL 2,0.50505,0.53174996,0.50504994,0.50504994,0.50505006
PITCH EG LEVEL 3,0.50505,0.52442557,0.50504994,0.5050498,0.50505006
PITCH EG LEVEL 4,0.50505,0.51061654,0.5050502,0.50505,0.50505
OP1 EG RATE 1,0.292929,0.6733865,0.50500727,0.5572702,0.54479086
OP1 EG RATE 2,1.0,0.6469182,0.8218229,0.96667343,0.9906069
OP1 EG RATE 3,1.0,0.6546815,0.7592349,0.8165467,0.853106
OP1 EG RATE 4,0.525253,0.6716651,0.49397665,0.5946333,0.59552675
OP1 EG LEVEL 1,1.0,1.0,0.99998605,0.9999997,0.9999998
OP1 EG LEVEL 2,1.0,1.0,0.94270945,1.0,1.0
OP1 EG LEVEL 3,1.0,1.0,0.9192464,0.9565381,0.98097056
OP1 EG LEVEL 4,0.0,0.0,4.5488893e-08,6.992231e-08,0.0
OP1 OUTPUT LEVEL,1.0,1.0,0.9928945,1.0,1.0
OP1 MODE,0.0,0.0,0.0,0.0,0.0
OP1 F COARSE,0.0,0.0,0.0,0.0,0.0
OP1 F FINE,0.0,0.103826866,0.0,0.0,0.0
OP1 OSC DETUNE,0.5,0.5,0.5,0.5,0.5
OP1 BREAK POINT,0.515152,0.30811775,0.34313393,0.29865795,0.31619754
OP1 L SCALE DEPTH,0.0,0.17753729,0.079213716,0.0,0.0
OP1 R SCALE DEPTH,0.0,0.0,0.0055936244,0.038440704,0.04023277
OP1 L KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP1 R KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP1 RATE SCALING,1.0,1.0,1.0,1.0,1.0
OP1 A MOD SENS.,0.6666667,0.0,0.6666667,0.6666667,0.6666667
OP1 KEY VELOCITY,0.0,0.0,0.2857143,0.0,0.0
OP2 EG RATE 1,0.808081,0.75801075,0.8712984,0.71013075,0.7043593
OP2 EG RATE 2,0.717172,0.6688456,0.7380393,0.668779,0.66959184
OP2 EG RATE 3,0.444444,0.6407928,0.47319737,0.59729546,0.614517
OP2 EG RATE 4,0.515152,0.5786533,0.4537284,0.6559745,0.6447909
OP2 EG LEVEL 1,1.0,0.93327373,1.0,0.96201473,0.9641612
OP2 EG LEVEL 2,0.838384,1.0,0.9016315,0.7820151,0.76653945
OP2 EG LEVEL 3,0.888889,1.0,0.9573714,0.9366129,0.9523204
OP2 EG LEVEL 4,0.0,0.0,0.0,0.0,1.01e-09
OP2 OUTPUT LEVEL,0.777778,0.8804835,0.7327715,0.77176785,0.76495004
OP2 MODE,0.0,0.0,0.0,0.0,0.0
OP2 F COARSE,0.0,0.0,0.0,0.0,0.0
OP2 F FINE,0.0,0.22373359,0.0,0.0,0.0
OP2 OSC DETUNE,0.5,0.5,0.5,0.0,0.0
OP2 BREAK POINT,0.515152,0.2819208,0.35945296,0.31663403,0.3329978
OP2 L SCALE DEPTH,0.0,0.09727787,0.0,0.0,0.0
OP2 R SCALE DEPTH,0.0,0.026960954,0.0,0.0,0.0
OP2 L KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP2 R KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP2 RATE SCALING,0.5714286,0.5714286,0.5714286,0.5714286,0.5714286
OP2 A MOD SENS.,0.6666667,0.0,0.6666667,0.6666667,0.6666667
OP2 KEY VELOCITY,0.0,0.0,0.0,0.0,0.0
OP3 EG RATE 1,0.464646,0.7239458,0.6736963,0.63182163,0.6295814
OP3 EG RATE 2,1.0,0.62821746,0.8910083,0.91123796,0.94664717
OP3 EG RATE 3,1.0,0.61264837,0.7085185,0.8541637,0.88576365
OP3 EG RATE 4,0.50505,0.6373189,0.50285006,0.613427,0.6162555
OP3 EG LEVEL 1,1.0,1.0,0.9914957,0.9902139,0.9900368
OP3 EG LEVEL 2,1.0,1.0,1.0,0.94719243,0.93926793
OP3 EG LEVEL 3,1.0,1.0,1.0,0.8975604,0.9226887
OP3 EG LEVEL 4,0.0,0.0,5.679952e-08,9.166102e-08,1.65e-07
OP3 OUTPUT LEVEL,1.0,0.93874943,0.9022212,0.99806666,1.0
OP3 MODE,0.0,0.0,0.0,0.0,0.0
OP3 F COARSE,0.0,0.0,0.0,0.0,0.0
OP3 F FINE,0.0,0.055084363,0.014274847,0.0,0.0
OP3 OSC DETUNE,0.5,0.5,0.5,0.5,0.5
OP3 BREAK POINT,0.515152,0.27954763,0.5375971,0.40759543,0.41804257
OP3 L SCALE DEPTH,0.0,0.0,0.10075001,0.0,0.0
OP3 R SCALE DEPTH,0.0,0.042568572,0.08176653,0.0152186,0.006502649
OP3 L KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP3 R KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP3 RATE SCALING,0.2857143,0.2857143,0.2857143,0.2857143,0.2857143
OP3 A MOD SENS.,0.33333334,0.0,0.33333334,0.33333334,0.33333334
OP3 KEY VELOCITY,0.0,0.0,0.0,0.2857143,0.2857143
OP4 EG RATE 1,0.424242,0.7494672,0.65412426,0.59582937,0.5892361
OP4 EG RATE 2,0.424242,0.59785885,0.52991754,0.38591823,0.36491963
OP4 EG RATE 3,0.535354,0.59949726,0.42269182,0.37322178,0.3688996
OP4 EG RATE 4,0.50505,0.6156876,0.4510973,0.46331576,0.4657269
OP4 EG LEVEL 1,0.565657,0.91737676,0.9070792,0.8628623,0.8661233
OP4 EG LEVEL 2,1.0,1.0,0.9827653,0.9143429,0.90970904
OP4 EG LEVEL 3,0.757576,0.8417787,0.82629937,0.78396076,0.7856376
OP4 EG LEVEL 4,0.0,0.0,0.0,0.0,8.64e-08
OP4 OUTPUT LEVEL,0.888889,0.8386313,0.7953582,0.88252026,0.877294
OP4 MODE,0.0,0.0,0.0,0.0,0.0
OP4 F COARSE,0.032258064,0.032258064,0.09677419,0.032258064,0.032258064
OP4 F FINE,0.0,0.019491784,0.0,0.0,0.0
OP4 OSC DETUNE,0.5,0.5,0.5,0.5,0.5
OP4 BREAK POINT,0.484848,0.4133082,0.37902206,0.34579802,0.36327267
OP4 L SCALE DEPTH,0.0,0.022326864,0.04012965,0.02358975,0.02400914
OP4 R SCALE DEPTH,0.0,0.11349494,0.080113515,0.045903616,0.044305883
OP4 L KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP4 R KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP4 RATE SCALING,0.42857146,0.42857146,0.42857146,0.42857146,0.42857146
OP4 A MOD SENS.,0.0,0.0,0.0,0.0,0.0
OP4 KEY VELOCITY,0.8571429,0.0,0.8571429,0.8571429,0.8571429
OP5 EG RATE 1,0.717172,0.728672,0.926206,0.7239644,0.72153366
OP5 EG RATE 2,0.242424,0.53808343,0.5663967,0.64877015,0.65616584
OP5 EG RATE 3,0.121212,0.60016304,0.33393666,0.41254997,0.42580304
OP5 EG RATE 4,0.50505,0.62634766,0.51846826,0.6645787,0.6648969
OP5 EG LEVEL 1,1.0,0.9479712,0.9952439,0.9584678,0.95840454
OP5 EG LEVEL 2,0.79798,0.80769837,0.8947253,0.79842657,0.799558
OP5 EG LEVEL 3,0.808081,0.76512223,0.85499877,0.9533897,0.9737625
OP5 EG LEVEL 4,0.0,0.0,0.0,3.1384621e-07,0.0
OP5 OUTPUT LEVEL,0.717172,0.80757576,0.7281633,0.7794202,0.7828692
OP5 MODE,1.0,0.0,1.0,1.0,1.0
OP5 F COARSE,0.06451613,0.06451613,0.06451613,0.06451613,0.06451613
OP5 F FINE,0.363636,0.15120992,0.18665363,0.15317594,0.15463623
OP5 OSC DETUNE,0.5,0.5,0.5,0.5,0.5
OP5 BREAK POINT,0.717172,0.40655303,0.3558858,0.4678275,0.47419703
OP5 L SCALE DEPTH,0.0,0.093415394,0.0,0.0,0.0
OP5 R SCALE DEPTH,0.0,0.24479641,0.044013657,0.0,0.0
OP5 L KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP5 R KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP5 RATE SCALING,1.0,1.0,1.0,1.0,1.0
OP5 A MOD SENS.,0.33333334,0.0,0.33333334,0.33333334,0.33333334
OP5 KEY VELOCITY,0.42857146,0.42857146,1.0,0.42857146,0.42857146
OP6 EG RATE 1,0.888889,0.7665608,1.0,0.8548567,0.84483284
OP6 EG RATE 2,1.0,0.67064744,0.7118181,0.6997532,0.7120587
OP6 EG RATE 3,1.0,0.6148454,0.7114859,0.77716607,0.79450846
OP6 EG RATE 4,0.474747,0.6235288,0.36565042,0.51855415,0.5305869
OP6 EG LEVEL 1,1.0,0.9548702,0.9989578,1.0,1.0
OP6 EG LEVEL 2,1.0,1.0,1.0,1.0,1.0
OP6 EG LEVEL 3,1.0,0.9785389,1.0,1.0,1.0
OP6 EG LEVEL 4,0.0,0.0,0.0,0.0,2.04e-08
OP6 OUTPUT LEVEL,0.989899,0.796533,0.9786462,0.8861247,0.88969994
OP6 MODE,1.0,0.0,1.0,0.0,0.0
OP6 F COARSE,0.9677419,0.032258064,0.9677419,0.9677419,0.9677419
OP6 F FINE,1.0,0.43949154,0.43863326,0.2850143,0.2744721
OP6 OSC DETUNE,0.5,0.5,0.5,0.5,0.5
OP6 BREAK POINT,0.555556,0.37584615,0.40390477,0.38170844,0.3847078
OP6 L SCALE DEPTH,0.0,0.032285064,0.03830317,0.028570145,0.023104455
OP6 R SCALE DEPTH,0.0,0.12292612,0.0,0.0,0.0
OP6 L KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP6 R KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP6 RATE SCALING,1.0,1.0,1.0,1.0,1.0
OP6 A MOD SENS.,0.0,0.0,0.0,0.0,0.0
OP6 KEY VELOCITY,0.0,0.0,0.0,0.0,0.0
