,GT,Flow,IS,IS2noITF,IS2
ALGORITHM,0.12903225,0.12903225,0.12903225,0.12903225,0.12903225
FEEDBACK,0.0,0.8571429,0.0,0.0,0.0
OSC KEY SYNC,0.0,0.0,0.0,0.0,0.0
LFO SPEED,0.151515,0.2329678,0.24596457,0.1946539,0.19582327
LFO DELAY,0.333333,0.3348378,0.17003429,0.25571588,0.2714288
LFO PM DEPTH,0.0,0.0,0.02859275,0.0,0.0
LFO AM DEPTH,0.0,0.0,0.08628775,0.09064217,0.07924947
LFO KEY SYNC,0.0,0.0,0.0,0.0,0.0
LFO WAVE,0.8,0.8,0.8,0.8,0.8
P MODE SENS.,0.2857143,0.2857143,0.42857146,0.42857146,0.42857146
PITCH EG RATE 1,1.0,1.0,1.0,1.0,1.0
PITCH EG RATE 2,1.0,0.77824956,0.9986647,0.926505,0.9223637
PITCH EG RATE 3,1.0,1.0,1.0,0.99068046,0.9861758
PITCH EG RATE 4,1.0,0.72264904,0.9792519,0.92992926,0.9292755
PITCH EG LEVEL 1,0.50505,0.52432257,0.5028835,0.5050497,0.5050476
PITCH EG LEVEL 2,0.50505,0.5070565,0.50504994,0.50505,0.50505
PITCH EG LEVEL 3,0.50505,0.49944484,0.50505,0.5050498,0.50504994
PITCH EG LEVEL 4,0.50505,0.50315464,0.5050501,0.50505,0.50505
OP1 EG RATE 1,0.969697,0.98317194,0.7876119,0.729152,0.7286179
OP1 EG RATE 2,0.252525,0.361449,0.15154503,0.26809886,0.25291523
OP1 EG RATE 3,0.343434,0.25878578,0.1988171,0.13898245,0.122331835
OP1 EG RATE 4,0.575758,0.62661046,0.46114892,0.4580246,0.4523728
OP1 EG LEVEL 1,1.0,1.0,0.999796,0.9999995,0.9999999
OP1 EG LEVEL 2,0.757576,0.768659,0.6904004,0.7189149,0.70491344
OP1 EG LEVEL 3,0.0,0.0,0.0013452418,0.0,0.0
OP1 EG LEVEL 4,0.0,0.0,4.813946e-08,7.1810916e-08,7.22e-08
OP1 OUTPUT LEVEL,1.0,1.0,0.9438061,0.9625668,0.9602601
OP1 MODE,0.0,0.0,0.0,0.0,0.0
OP1 F COARSE,0.032258064,0.032258064,0.032258064,0.032258064,0.032258064
OP1 F FINE,0.0,0.0,0.005816732,0.0,0.0
OP1 OSC DETUNE,0.71428573,0.71428573,0.71428573,0.71428573,0.71428573
OP1 BREAK POINT,0.0,0.0,0.0,0.07476025,0.06031794
OP1 L SCALE DEPTH,0.0,0.0,0.0,0.0,0.0
OP1 R SCALE DEPTH,0.0,0.0,0.0,0.0,0.0
OP1 L KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP1 R KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP1 RATE SCALING,0.42857146,0.42857146,0.42857146,0.42857146,0.42857146
OP1 A MOD SENS.,0.0,0.0,0.0,0.0,0.0
OP1 KEY VELOCITY,0.2857143,0.2857143,0.0,0.0,0.0
OP2 EG RATE 1,0.959596,1.0,0.8760966,0.73332185,0.7337195
OP2 EG RATE 2,0.50505,0.5967385,0.44325945,0.37087822,0.357102
OP2 EG RATE 3,0.343434,0.3851148,0.08773665,0.13376953,0.12736729
OP2 EG RATE 4,0.545455,0.6903312,0.43541947,0.42098317,0.41209212
OP2 EG LEVEL 1,1.0,1.0,0.9621515,0.95342994,0.95530266
OP2 EG LEVEL 2,0.757576,0.7486329,0.60882485,0.7152847,0.6895072
OP2 EG LEVEL 3,0.0,0.04981388,0.11232213,0.049346782,0.028095191
OP2 EG LEVEL 4,0.0,0.0,3.734452e-09,0.0,1.26e-08
OP2 OUTPUT LEVEL,0.707071,0.75130534,0.6168425,0.6613141,0.64027196
OP2 MODE,0.0,0.0,0.0,0.0,0.0
OP2 F COARSE,0.3548387,0.032258064,0.3548387,0.3548387,0.3548387
OP2 F FINE,0.0,0.0,0.0024890779,0.0070371623,0.005267425
OP2 OSC DETUNE,0.5,0.5,0.5,0.5,0.5
OP2 BREAK POINT,0.0,0.13618544,0.0,0.0,0.0
OP2 L SCALE DEPTH,0.0,0.09548026,0.0,0.0,0.0
OP2 R SCALE DEPTH,0.010101,0.0,0.0,0.00914874,0.009177428
OP2 L KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP2 R KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP2 RATE SCALING,0.42857146,0.42857146,0.42857146,0.42857146,0.42857146
OP2 A MOD SENS.,0.0,0.0,0.0,0.0,0.0
OP2 KEY VELOCITY,0.42857146,1.0,0.42857146,0.42857146,0.42857146
OP3 EG RATE 1,0.959596,1.0,0.9831749,0.9152824,0.91725415
OP3 EG RATE 2,0.20202,0.26553237,0.13754222,0.14292522,0.120404944
OP3 EG RATE 3,0.292929,0.2500955,0.08109993,0.17956272,0.16486846
OP3 EG RATE 4,0.50505,0.5312938,0.4479286,0.45369938,0.4516187
OP3 EG LEVEL 1,1.0,1.0,0.99562347,1.0,1.0
OP3 EG LEVEL 2,0.959596,0.9022041,0.8346139,0.93938917,0.94627506
OP3 EG LEVEL 3,0.0,0.0,0.0,0.03431701,0.01831348
OP3 EG LEVEL 4,0.0,0.0,5.2656574e-08,8.6435826e-08,0.0
OP3 OUTPUT LEVEL,1.0,1.0,0.9226888,0.9930933,0.99607813
OP3 MODE,0.0,0.0,0.0,0.0,0.0
OP3 F COARSE,0.032258064,0.032258064,0.032258064,0.032258064,0.032258064
OP3 F FINE,0.0,0.0,0.026098061,0.0,0.0
OP3 OSC DETUNE,0.5,0.5,0.5,0.5,0.5
OP3 BREAK POINT,0.0,0.10964571,0.0,0.036469724,0.017060358
OP3 L SCALE DEPTH,0.0,0.12316503,0.0014497964,0.0,0.0
OP3 R SCALE DEPTH,0.0,0.0,0.0,0.0,0.0
OP3 L KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP3 R KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP3 RATE SCALING,0.42857146,0.42857146,0.42857146,0.42857146,0.42857146
OP3 A MOD SENS.,0.0,0.0,0.0,0.0,0.0
OP3 KEY VELOCITY,0.2857143,0.2857143,0.2857143,0.2857143,0.2857143
OP4 EG RATE 1,0.959596,1.0,0.9586109,0.9354318,0.94214964
OP4 EG RATE 2,0.525253,0.48138756,0.4111672,0.4493191,0.44286117
OP4 EG RATE 3,0.333333,0.19789451,0.056073982,0.18342355,0.16263482
OP4 EG RATE 4,0.50505,0.5441208,0.35436785,0.43355027,0.42701358
OP4 EG LEVEL 1,1.0,1.0,1.0,1.0,1.0
OP4 EG LEVEL 2,0.959596,0.8394093,0.6940661,0.8061897,0.8133373
OP4 EG LEVEL 3,0.0,0.0,0.0,0.0,0.0
OP4 EG LEVEL 4,0.0,0.0,0.0,0.0,0.0
