,GT,Flow,IS,IS2noITF,IS2
ALGORITHM,0.06451613,0.06451613,0.06451613,0.06451613,0.06451613
FEEDBACK,0.0,0.0,0.0,0.0,0.0
OSC KEY SYNC,1.0,1.0,1.0,1.0,1.0
LFO SPEED,0.353535,0.34501052,0.390754,0.3816253,0.3733777
LFO DELAY,0.0,0.08452682,0.0029026205,0.13980742,0.13905065
LFO PM DEPTH,0.0,0.07158542,0.020478241,0.024967965,0.020939525
LFO AM DEPTH,0.0,0.0,0.0,0.0049511814,0.0
LFO KEY SYNC,1.0,1.0,1.0,1.0,1.0
LFO WAVE,0.0,0.0,0.0,0.0,0.0
P MODE SENS.,0.42857146,0.42857146,0.42857146,0.42857146,0.42857146
PITCH EG RATE 1,1.0,1.0,1.0,1.0,1.0
PITCH EG RATE 2,1.0,0.9690691,0.9550419,0.98279744,0.9781153
PITCH EG RATE 3,1.0,1.0,0.98901516,1.0,1.0
PITCH EG RATE 4,1.0,0.97666144,1.0,0.95308733,0.9655507
PITCH EG LEVEL 1,0.50505,0.4999892,0.50621617,0.50504965,0.5050469
PITCH EG LEVEL 2,0.50505,0.49506488,0.5050501,0.50505006,0.50505
PITCH EG LEVEL 3,0.50505,0.5361888,0.5050501,0.5050499,0.50505
PITCH EG LEVEL 4,0.50505,0.49033457,0.5050501,0.50504994,0.5050501
OP1 EG RATE 1,0.626263,0.48976874,0.6258866,0.6260022,0.6250968
OP1 EG RATE 2,0.212121,0.5739399,0.3809343,0.38711485,0.37401792
OP1 EG RATE 3,0.464646,0.59562635,0.4985041,0.5822012,0.5878849
OP1 EG RATE 4,0.292929,0.38198042,0.33325785,0.25922963,0.24556898
OP1 EG LEVEL 1,1.0,0.97701544,0.99984705,0.9999997,0.9999997
OP1 EG LEVEL 2,1.0,0.9135729,0.9416647,0.92784286,0.9185566
OP1 EG LEVEL 3,1.0,1.0,0.8475981,1.0,1.0
OP1 EG LEVEL 4,0.0,0.0,2.3509212e-08,7.916181e-08,4.51e-08
OP1 OUTPUT LEVEL,1.0,1.0,1.0,1.0,1.0
OP1 MODE,0.0,0.0,0.0,0.0,0.0
OP1 F COARSE,0.032258064,0.032258064,0.032258064,0.032258064,0.032258064
OP1 F FINE,0.0,0.0,0.0,0.012021117,0.008668312
OP1 OSC DETUNE,0.5,0.5,0.5,0.5,0.5
OP1 BREAK POINT,0.0,0.022885457,0.32246634,0.30910203,0.30960625
OP1 L SCALE DEPTH,0.0,0.0,0.050624456,0.040725343,0.045959387
OP1 R SCALE DEPTH,0.0,0.0,0.01658212,0.0005846933,0.000805038
OP1 L KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP1 R KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP1 RATE SCALING,0.0,0.0,0.0,0.0,0.0
OP1 A MOD SENS.,0.0,0.0,0.0,0.0,0.0
OP1 KEY VELOCITY,0.0,0.0,0.0,0.0,0.0
OP2 EG RATE 1,0.333333,0.5274053,0.39573073,0.43227327,0.40286607
OP2 EG RATE 2,0.454545,0.49164683,0.46730316,0.48112148,0.47419667
OP2 EG RATE 3,0.454545,0.52174956,0.58871585,0.61123663,0.6286637
OP2 EG RATE 4,0.141414,0.26492983,0.18511416,0.18147768,0.17428747
OP2 EG LEVEL 1,0.494949,0.8329379,0.82637197,0.84806395,0.8399766
OP2 EG LEVEL 2,0.50505,0.86378676,0.62790877,0.6767553,0.6491678
OP2 EG LEVEL 3,0.50505,0.76533973,0.61857027,0.7963398,0.79693985
OP2 EG LEVEL 4,0.0,0.0,1.9263457e-08,0.0,0.0
OP2 OUTPUT LEVEL,1.0,0.8029895,0.75953454,0.7752565,0.7645104
OP2 MODE,0.0,0.0,0.0,0.0,0.0
OP2 F COARSE,0.032258064,0.032258064,0.032258064,0.032258064,0.032258064
OP2 F FINE,0.0,0.0,0.0,0.0,0.0
OP2 OSC DETUNE,0.7857143,0.5,0.7857143,0.7857143,0.7857143
OP2 BREAK POINT,0.0,0.11025463,0.31466758,0.33345038,0.3454189
OP2 L SCALE DEPTH,0.0,0.0,0.0070219445,0.0,0.0
OP2 R SCALE DEPTH,0.0,0.0,0.02523324,0.0,0.00487524
OP2 L KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP2 R KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP2 RATE SCALING,0.0,0.0,0.0,0.0,0.0
OP2 A MOD SENS.,0.0,0.0,0.0,0.0,0.0
OP2 KEY VELOCITY,0.0,0.0,0.0,0.0,0.0
OP3 EG RATE 1,0.191919,0.4839906,0.40659666,0.4087194,0.39274573
OP3 EG RATE 2,0.454545,0.609331,0.4256294,0.37499163,0.35963786
OP3 EG RATE 3,0.454545,0.53489804,0.42293647,0.39729837,0.39212164
OP3 EG RATE 4,0.141414,0.2875607,0.23988813,0.12103245,0.10758226
OP3 EG LEVEL 1,0.494949,0.85648566,0.93630964,0.9546823,0.95302415
OP3 EG LEVEL 2,0.50505,0.8062711,0.6614465,0.6464421,0.61667883
OP3 EG LEVEL 3,0.50505,0.9351517,0.53669333,0.7052563,0.7065324
OP3 EG LEVEL 4,0.0,0.0,6.44626e-08,1.0606665e-07,0.0
OP3 OUTPUT LEVEL,1.0,0.760302,0.7971966,0.9021554,0.91054773
OP3 MODE,0.0,0.0,0.0,0.0,0.0
OP3 F COARSE,0.032258064,0.032258064,0.032258064,0.032258064,0.032258064
OP3 F FINE,0.0,0.033158973,0.0,0.013871162,0.011705323
OP3 OSC DETUNE,0.21428573,0.5714286,0.21428573,0.21428573,0.21428573
OP3 BREAK POINT,0.0,0.024184793,0.30876508,0.3252378,0.33603072
OP3 L SCALE DEPTH,0.0,0.0,0.0985594,0.022039164,0.0306214
OP3 R SCALE DEPTH,0.0,0.0,0.022049595,0.0,0.0
OP3 L KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP3 R KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP3 RATE SCALING,0.0,0.0,0.0,0.0,0.0
OP3 A MOD SENS.,0.0,0.0,0.0,0.0,0.0
OP3 KEY VELOCITY,0.0,0.0,0.0,0.0,0.0
OP4 EG RATE 1,0.323232,0.47169447,0.4456997,0.4072153,0.3811979
OP4 EG RATE 2,0.494949,0.5277319,0.5621579,0.50111514,0.49154437
OP4 EG RATE 3,0.464646,0.5254577,0.5289381,0.5231395,0.52559197
OP4 EG RATE 4,0.141414,0.32956275,0.29001993,0.24025024,0.23597693
OP4 EG LEVEL 1,1.0,0.79719377,0.9342619,0.94101727,0.93945044
OP4 EG LEVEL 2,1.0,0.8310404,0.8092228,0.8713868,0.856801
OP4 EG LEVEL 3,1.0,0.69197184,0.95840985,1.0,1.0
OP4 EG LEVEL 4,0.0,0.0,0.0,0.0,1.05e-08
OP4 OUTPUT LEVEL,0.949495,0.7963078,0.88009566,0.75501007,0.75184304
OP4 MODE,0.0,0.0,0.0,0.0,0.0
OP4 F COARSE,0.06451613,0.032258064,0.06451613,0.06451613,0.06451613
OP4 F FINE,0.0,0.0,0.0,0.02664247,0.022533238
OP4 OSC DETUNE,0.5,0.5,0.5,0.5,0.5
OP4 BREAK POINT,0.0,0.09571695,0.30221653,0.30346808,0.29985568
OP4 L SCALE DEPTH,0.0,0.0,0.04251253,0.0072251153,0.010973072
OP4 R SCALE DEPTH,0.0,0.0,0.0327622,0.0,0.0
OP4 L KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP4 R KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP4 RATE SCALING,0.0,0.0,0.0,0.0,0.0
OP4 A MOD SENS.,0.0,0.0,0.0,0.0,0.0
OP4 KEY VELOCITY,0.0,0.0,0.0,0.0,0.0
OP5 EG RATE 1,0.858586,0.5077821,0.7326063,0.8174435,0.8158109
OP5 EG RATE 2,0.454545,0.62355524,0.4699929,0.42161322,0.42653924
OP5 EG RATE 3,0.454545,0.49542058,0.45275724,0.59586596,0.60393006
OP5 EG RATE 4,0.141414,0.29344907,0.17944108,0.13906306,0.13245685
OP5 EG LEVEL 1,0.494949,0.8021598,0.93145895,0.9392855,0.9363572
OP5 EG LEVEL 2,0.50505,0.66302633,0.52120733,0.51134145,0.4829348
OP5 EG LEVEL 3,0.50505,0.6901922,0.5331628,0.6636887,0.6626663
OP5 EG LEVEL 4,0.0,0.0,0.0,3.803052e-07,0.0
OP5 OUTPUT LEVEL,0.89899,0.7800332,0.9010819,0.87758154,0.8855602
OP5 MODE,0.0,0.0,0.0,0.0,0.0
OP5 F COARSE,0.29032257,0.032258064,0.29032257,0.29032257,0.29032257
OP5 F FINE,0.0,0.030866697,0.027375182,0.038217053,0.037041713
OP5 OSC DETUNE,0.5,0.5,0.5,0.5,0.5
OP5 BREAK POINT,0.0,0.16784815,0.34681353,0.30000255,0.29743525
OP5 L SCALE DEPTH,0.0,0.042778328,0.06609596,0.024673587,0.024963602
OP5 R SCALE DEPTH,0.0,0.0006059855,0.055787895,0.0,0.002591341
OP5 L KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP5 R KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP5 RATE SCALING,0.0,0.0,0.0,0.0,0.0
OP5 A MOD SENS.,0.0,0.0,0.0,0.0,0.0
OP5 KEY VELOCITY,0.0,0.0,0.0,0.0,0.0
OP6 EG RATE 1,0.181818,0.55613536,0.36177117,0.40190917,0.3770304
OP6 EG RATE 2,0.474747,0.63320535,0.55707604,0.5151497,0.5296108
OP6 EG RATE 3,0.484848,0.552612,0.5467984,0.63286674,0.65302324
OP6 EG RATE 4,0.212121,0.27575272,0.15530723,0.1502493,0.14863795
OP6 EG LEVEL 1,1.0,0.8675028,0.968274,0.9636423,0.964489
OP6 EG LEVEL 2,1.0,0.71845186,0.90306515,0.81854844,0.80934966
OP6 EG LEVEL 3,1.0,0.70797217,0.8814314,1.0,1.0
OP6 EG LEVEL 4,0.0,0.0,1.614813e-08,0.0,0.0
OP6 OUTPUT LEVEL,0.737374,0.7135152,0.7934146,0.7977455,0.795802
OP6 MODE,1.0,1.0,1.0,1.0,1.0
OP6 F COARSE,0.0,0.0,0.0,0.0,0.0
OP6 F FINE,0.464646,0.37590814,0.28362224,0.27915516,0.29709595
OP6 OSC DETUNE,0.5,0.5,0.5,0.5,0.5
OP6 BREAK POINT,0.0,0.12710448,0.38025331,0.44389194,0.4525907
OP6 L SCALE DEPTH,0.0,0.0,0.07578407,0.03291072,0.033713046
OP6 R SCALE DEPTH,0.0,0.0,0.03913473,0.017421879,0.017755268
OP6 L KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP6 R KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP6 RATE SCALING,0.0,0.0,0.0,0.0,0.0
OP6 A MOD SENS.,0.0,0.0,0.0,0.0,0.0
OP6 KEY VELOCITY,0.0,0.0,0.0,0.0,0.0
