,GT,Flow,IS,IS2noITF,IS2
ALGORITHM,0.032258064,0.032258064,0.032258064,0.032258064,0.032258064
FEEDBACK,1.0,1.0,1.0,1.0,1.0
OSC KEY SYNC,1.0,1.0,1.0,1.0,1.0
LFO SPEED,0.30303,0.30557263,0.32620284,0.33770773,0.33433923
LFO DELAY,0.575758,0.5271864,0.26718137,0.38129675,0.39436913
LFO PM DEPTH,0.080808,0.13031518,0.0759389,0.13009879,0.1361931
LFO AM DEPTH,0.363636,0.0,0.19086589,0.040649857,0.02938222
LFO KEY SYNC,0.0,0.0,0.0,0.0,0.0
LFO WAVE,0.8,0.8,0.8,0.8,0.8
P MODE SENS.,0.42857146,0.2857143,0.2857143,0.14285715,0.14285715
PITCH EG RATE 1,0.848485,0.7563404,0.89517564,0.77991647,0.7745478
PITCH EG RATE 2,0.959596,0.9699762,0.82355595,0.85444856,0.8632814
PITCH EG RATE 3,0.959596,0.9024818,0.9130606,0.74460053,0.73154455
PITCH EG RATE 4,0.606061,0.5806804,0.6302922,0.5034221,0.48346767
PITCH EG LEVEL 1,0.50505,0.49745727,0.5057385,0.50504977,0.50504917
PITCH EG LEVEL 2,0.50505,0.49688363,0.5050498,0.50504994,0.5050501
PITCH EG LEVEL 3,0.50505,0.52307034,0.50505,0.5050498,0.50505
PITCH EG LEVEL 4,0.50505,0.49570918,0.5050501,0.50504994,0.50505
OP1 EG RATE 1,0.535354,0.5727216,0.4842467,0.5759169,0.5669268
OP1 EG RATE 2,0.494949,0.64531064,0.47348234,0.4873158,0.49675336
OP1 EG RATE 3,0.10101,0.13547558,0.032437768,0.10760264,0.11212882
OP1 EG RATE 4,0.474747,0.48060846,0.5432773,0.59525335,0.60111165
OP1 EG LEVEL 1,0.989899,1.0,0.9995799,0.9999994,0.99999976
OP1 EG LEVEL 2,0.989899,1.0,0.985061,1.0,1.0
OP1 EG LEVEL 3,0.363636,0.25949,0.5226338,0.5947751,0.59824854
OP1 EG LEVEL 4,0.0,0.0,3.8855102e-08,7.435323e-08,2.01e-08
OP1 OUTPUT LEVEL,0.929293,1.0,0.96116877,0.9556239,0.953575
OP1 MODE,0.0,0.0,0.0,0.0,0.0
OP1 F COARSE,0.12903225,0.06451613,0.06451613,0.06451613,0.06451613
OP1 F FINE,0.0,0.0,0.014953231,0.011879051,0.004308615
OP1 OSC DETUNE,0.5,0.5,0.5,0.5,0.5
OP1 BREAK POINT,0.989899,0.9408877,0.71803427,0.7584526,0.7991644
OP1 L SCALE DEPTH,0.0,0.0,0.16054145,0.06868159,0.06242581
OP1 R SCALE DEPTH,0.0,0.0,0.055737346,0.06830706,0.07170197
OP1 L KEY SCALE,0.0,0.0,1.0,0.0,0.0
OP1 R KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP1 RATE SCALING,0.0,0.0,0.0,0.0,0.0
OP1 A MOD SENS.,0.0,0.0,0.0,0.0,0.0
OP1 KEY VELOCITY,0.0,0.0,0.14285715,0.0,0.0
OP2 EG RATE 1,0.747475,0.75215137,0.8993201,0.9146569,0.9231169
OP2 EG RATE 2,0.060606,0.19338584,0.2904176,0.32568294,0.31249365
OP2 EG RATE 3,0.070707,0.04368353,0.108232275,0.08954838,0.08454232
OP2 EG RATE 4,0.252525,0.2311337,0.25843304,0.34800577,0.34714183
OP2 EG LEVEL 1,1.0,1.0,0.97586036,1.0,1.0
OP2 EG LEVEL 2,0.929293,0.94593596,0.7612747,0.911043,0.9061331
OP2 EG LEVEL 3,0.282828,0.2550311,0.54974604,0.41510686,0.40240484
OP2 EG LEVEL 4,0.0,0.0,6.6838974e-09,0.0,5.27e-08
OP2 OUTPUT LEVEL,0.747475,0.7367697,0.80323225,0.74506736,0.7389127
OP2 MODE,0.0,0.0,0.0,0.0,0.0
OP2 F COARSE,0.06451613,0.06451613,0.06451613,0.06451613,0.06451613
OP2 F FINE,0.010101,0.0,0.058700785,0.050913043,0.048042115
OP2 OSC DETUNE,0.071428575,0.071428575,0.5,0.5,0.5
OP2 BREAK POINT,0.0,0.1303811,0.39049512,0.22169866,0.2217804
OP2 L SCALE DEPTH,0.0,0.0,0.012819489,0.006489283,0.007393141
OP2 R SCALE DEPTH,0.0,0.0,0.15876424,0.116134614,0.11670586
OP2 L KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP2 R KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP2 RATE SCALING,0.0,0.0,0.0,0.0,0.0
OP2 A MOD SENS.,0.0,0.0,0.0,0.0,0.0
OP2 KEY VELOCITY,0.0,0.0,0.0,0.0,0.0
OP3 EG RATE 1,0.444444,0.5419042,0.4895808,0.6517523,0.64333904
OP3 EG RATE 2,0.080808,0.1751051,0.12424267,0.21737616,0.20281634
OP3 EG RATE 3,0.10101,0.05903566,0.014723024,0.088248976,0.08226192
OP3 EG RATE 4,0.474747,0.48270917,0.434404,0.48810333,0.4922055
OP3 EG LEVEL 1,1.0,1.0,0.9860194,1.0,1.0
OP3 EG LEVEL 2,0.929293,0.9379947,0.8611938,0.94764566,0.9448208
OP3 EG LEVEL 3,0.0,0.0,0.13747758,0.2163729,0.17889774
OP3 EG LEVEL 4,0.0,0.0,6.023882e-08,9.7035674e-08,0.0
OP3 OUTPUT LEVEL,0.929293,0.9877062,0.9809854,0.85101604,0.8479044
OP3 MODE,0.0,0.0,0.0,0.0,0.0
OP3 F COARSE,0.06451613,0.06451613,0.06451613,0.06451613,0.06451613
