,GT,Flow,IS,IS2noITF,IS2
ALGORITHM,1.0,1.0,1.0,1.0,1.0
FEEDBACK,0.0,0.0,0.0,0.0,0.0
OSC KEY SYNC,1.0,1.0,1.0,1.0,1.0
LFO SPEED,0.424242,0.32508874,0.4025275,0.38391542,0.38751867
LFO DELAY,0.727273,0.32469952,0.54806113,0.63175356,0.64622945
LFO PM DEPTH,0.010101,0.25133908,0.114229634,0.079414114,0.07613768
LFO AM DEPTH,0.757576,0.48376483,0.5517463,0.40709525,0.43183723
LFO KEY SYNC,0.0,1.0,0.0,0.0,0.0
LFO WAVE,0.8,0.8,0.8,0.8,0.8
P MODE SENS.,0.0,0.42857146,0.0,0.0,0.0
PITCH EG RATE 1,1.0,0.80994517,0.90315354,0.8500417,0.83730507
PITCH EG RATE 2,1.0,0.8090826,0.8975404,0.9679816,0.97238964
PITCH EG RATE 3,1.0,0.99700844,1.0,1.0,1.0
PITCH EG RATE 4,0.0,0.78928214,0.57942456,0.6448892,0.62918895
PITCH EG LEVEL 1,0.50505,0.46881992,0.4994426,0.50504977,0.50504935
PITCH EG LEVEL 2,0.50505,0.4933831,0.50505006,0.5050501,0.5050499
PITCH EG LEVEL 3,0.50505,0.4923277,0.50505,0.50504994,0.50505
PITCH EG LEVEL 4,0.484848,0.48870403,0.5050502,0.50504994,0.5050501
OP1 EG RATE 1,1.0,0.51474893,0.5471685,0.56645745,0.5498616
OP1 EG RATE 2,1.0,0.70459914,0.54586476,0.54948944,0.5449965
OP1 EG RATE 3,0.606061,0.6601849,0.47361398,0.6106033,0.6174794
OP1 EG RATE 4,0.313131,0.40845734,0.29283175,0.3295009,0.32190737
OP1 EG LEVEL 1,0.0,0.5635853,0.99938625,0.9999989,0.9999984
OP1 EG LEVEL 2,0.0,0.5592137,0.4328441,0.635858,0.61088395
OP1 EG LEVEL 3,1.0,0.99908876,0.85209084,1.0,1.0
OP1 EG LEVEL 4,0.0,0.0,4.8355417e-08,7.677781e-08,1.78e-07
OP1 OUTPUT LEVEL,1.0,0.8433451,0.97379094,0.99247986,0.99404323
OP1 MODE,0.0,0.0,0.0,0.0,0.0
OP1 F COARSE,0.032258064,0.032258064,0.032258064,0.032258064,0.032258064
OP1 F FINE,0.0,0.0,0.0,0.0,0.0
OP1 OSC DETUNE,0.5,0.5,0.5,0.5,0.5
OP1 BREAK POINT,0.393939,0.0,0.3019798,0.47191215,0.47790068
OP1 L SCALE DEPTH,0.0,0.0,0.06354693,0.0,0.0
OP1 R SCALE DEPTH,0.0,0.0,0.029108275,0.0075010215,0.003600761
OP1 L KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP1 R KEY SCALE,0.0,0.0,0.0,0.0,0.0
OP1 RATE SCALING,0.0,0.0,0.0,0.0,0.0
OP1 A MOD SENS.,0.33333334,0.0,0.33333334,0.33333334,0.33333334
OP1 KEY VELOCITY,0.0,0.0,0.0,0.0,0.0
OP2 EG RATE 1,0.606061,0.462178,0.52857155,0.54757875,0.5409684
OP2 EG RATE 2,1.0,0.59099984,0.5944886,0.75491786,0.7789965
OP2 EG RATE 3,0.464646,0.71742105,0.55662924,0.5467315,0.55993384
OP2 EG RATE 4,0.313131,0.37103954,0.15775117,0.14501826,0.13630627
OP2 EG LEVEL 1,0.0,0.54764175,0.7824528,0.84362817,0.84187275
OP2 EG LEVEL 2,0.0,0.5416682,0.23967977,0.31360665,0.28193784
OP2 EG LEVEL 3,1.0,1.0,0.7681466,0.8670348,0.88192075
