,GT,Flow,IS,IS2noITF,IS2
ALGORITHM,0.0,0.0,0.0,0.0,0.0
FEEDBACK,1.0,1.0,1.0,1.0,1.0
OSC KEY SYNC,1.0,1.0,1.0,1.0,1.0
LFO SPEED,0.424242,0.33119598,0.4284058,0.47054574,0.4732541
LFO DELAY,0.585859,0.3130428,0.48389906,0.51635545,0.54735804
LFO PM DEPTH,0.0,0.0,0.013342023,0.0030098855,0.0
LFO AM DEPTH,0.0,0.078592196,0.056863863,0.0,0.0
LFO KEY SYNC,1.0,0.0,0.0,0.0,0.0
LFO WAVE,0.8,0.8,0.8,0.8,0.8
P MODE SENS.,0.42857146,0.42857146,0.42857146,0.42857146,0.42857146
PITCH EG RATE 1,1.0,1.0,0.9458638,1.0,1.0
PITCH EG RATE 2,1.0,1.0,1.0,1.0,1.0
PITCH EG RATE 3,1.0,1.0,1.0,1.0,1.0
PITCH EG RATE 4,1.0,0.90619606,1.0,1.0,1.0
PITCH EG LEVEL 1,0.50505,0.5522238,0.5039808,0.5050496,0.505046
PITCH EG LEVEL 2,0.50505,0.53099495,0.50505006,0.50505,0.50505
PITCH EG LEVEL 3,0.50505,0.530152,0.50505006,0.5050498,0.50505006
PITCH EG LEVEL 4,0.50505,0.5248541,0.5050501,0.50504994,0.50505
OP1 EG RATE 1,0.747475,0.80374736,0.7006498,0.73909503,0.7397457
OP1 EG RATE 2,0.464646,0.56001383,0.45577818,0.48762265,0.49307323
OP1 EG RATE 3,0.0,0.15366969,0.02087256,0.025125189,0.004333111
OP1 EG RATE 4,1.0,0.7394053,0.7611662,0.76350856,0.77805793
OP1 EG LEVEL 1,0.969697,1.0,0.9995664,0.9999991,0.9999993
OP1 EG LEVEL 2,1.0,1.0,1.0,0.99764776,0.9932771
OP1 EG LEVEL 3,0.858586,0.71583045,0.79023933,0.76012117,0.77347004
OP1 EG LEVEL 4,0.0,0.0,2.7809563e-08,7.3460676e-08,3.21e-08
OP1 OUTPUT LEVEL,1.0,0.9484986,0.9974327,0.9911689,0.99262154
OP1 MODE,0.0,0.0,0.0,0.0,0.0
OP1 F COARSE,0.09677419,0.032258064,0.09677419,0.09677419,0.09677419
OP1 F FINE,0.0,0.0,0.01155083,0.0,0.0
OP1 OSC DETUNE,0.5,0.5,0.5,0.5,0.5
OP1 BREAK POINT,0.151515,0.23988105,0.18513598,0.1762483,0.16995655
OP1 L SCALE DEPTH,0.0,0.0,0.0,0.0,0.0
OP1 R SCALE DEPTH,0.0,0.0,0.012036708,0.0049316525,0.00640188
OP1 L KEY SCALE,0.0,0.0,0.0,0.0,0.0
