,GT,Flow,IS,IS2noITF,IS2
ALGORITHM,0.16129032,0.16129032,0.16129032,0.16129032,0.16129032
FEEDBACK,0.0,0.0,0.0,0.0,0.0
OSC KEY SYNC,0.0,1.0,1.0,1.0,1.0
LFO SPEED,0.353535,0.5050673,0.4730843,0.5368774,0.5436275
LFO DELAY,0.0,0.0,0.011525168,0.0,0.0
LFO PM DEPTH,0.0,0.1259443,0.023456672,0.045690577,0.03829345
LFO AM DEPTH,0.0,0.0,0.032841463,0.066683225,0.0666965
LFO KEY SYNC,1.0,1.0,1.0,1.0,1.0
LFO WAVE,0.0,0.0,0.0,0.0,0.0
P MODE SENS.,0.42857146,0.42857146,0.42857146,0.42857146,0.42857146
PITCH EG RATE 1,0.535354,1.0,0.9299164,0.98924977,0.98695636
PITCH EG RATE 2,0.969697,1.0,0.92433906,0.9349234,0.9289244
PITCH EG RATE 3,0.959596,1.0,0.94159514,1.0,0.99833053
PITCH EG RATE 4,0.606061,1.0,0.9954015,0.98944855,0.9968546
PITCH EG LEVEL 1,0.50505,0.5167012,0.5058472,0.5050498,0.50505024
PITCH EG LEVEL 2,0.50505,0.4801085,0.5050502,0.50505006,0.5050501
PITCH EG LEVEL 3,0.50505,0.4518053,0.50505024,0.5050499,0.50505
PITCH EG LEVEL 4,0.50505,0.48427123,0.5050501,0.50504994,0.5050501
OP1 EG RATE 1,1.0,0.86232316,0.9812956,1.0,1.0
OP1 EG RATE 2,1.0,0.9210479,0.97053844,1.0,1.0
OP1 EG RATE 3,0.767677,0.5892009,0.74885195,0.83781284,0.8394422
OP1 EG RATE 4,0.222222,0.37929654,0.19330345,0.2219295,0.21810566
OP1 EG LEVEL 1,1.0,1.0,1.0,0.99999976,1.0
OP1 EG LEVEL 2,1.0,1.0,0.9861766,1.0,1.0
OP1 EG LEVEL 3,0.989899,0.9516282,0.9481917,0.98052806,0.98841166
OP1 EG LEVEL 4,0.0,0.0,2.127388e-08,8.1188524e-08,0.0
OP1 OUTPUT LEVEL,1.0,1.0,1.0,0.99802685,0.9981079
OP1 MODE,1.0,1.0,1.0,1.0,1.0
